,city,lat,lng,temp,humidity,wind,cloudiness,country,date
214,clyde river,70.4692,-68.5914,17.6,100,2.33,75,CA,Sat May  1 09:32:36 2021
215,buta,2.7858,24.73,71.55,89,3.09,98,CD,Sat May  1 09:32:37 2021
216,sorland,67.667,12.6934,35.6,69,10.36,75,NO,Sat May  1 09:32:38 2021
217,puerto escondido,15.85,-97.0667,86.0,66,8.05,75,MX,Sat May  1 09:32:38 2021
218,barra patuca,15.8,-84.2833,86.11,57,11.61,12,HN,Sat May  1 09:32:39 2021
219,teapa,17.55,-92.95,86.0,70,4.61,90,MX,Sat May  1 09:32:39 2021
220,kemlya,54.6963,45.2424,47.64,87,6.71,88,RU,Sat May  1 09:32:40 2021
221,faanui,-16.4833,-151.75,80.62,69,5.53,88,PF,Sat May  1 09:32:40 2021
222,airai,-8.9266,125.4092,57.16,89,3.06,98,TL,Sat May  1 09:28:51 2021
223,hambantota,6.1241,81.1185,80.6,100,3.44,75,LK,Sat May  1 09:29:42 2021
224,severnyy,50.677,36.5532,64.4,36,4.47,0,RU,Sat May  1 09:32:42 2021
225,batie,9.8833,-2.9167,97.77,28,7.31,73,BF,Sat May  1 09:32:42 2021
226,pryazha,61.6926,33.6216,41.0,26,11.18,74,RU,Sat May  1 09:32:14 2021
227,diapaga,12.0708,1.7889,102.87,19,7.25,74,BF,Sat May  1 09:32:43 2021
228,virginia beach,36.8529,-75.978,63.0,29,18.41,20,US,Sat May  1 09:32:44 2021
229,pisco,-13.7,-76.2167,70.0,78,10.36,6,PE,Sat May  1 09:27:49 2021
230,souillac,-20.5167,57.5167,75.2,88,3.44,40,MU,Sat May  1 09:32:45 2021
231,kalyazin,57.2403,37.8433,42.3,68,4.32,76,RU,Sat May  1 09:32:45 2021
232,port keats,-14.25,129.55,75.16,54,5.5,0,AU,Sat May  1 09:32:46 2021
233,borskoye,53.0333,51.7167,57.87,50,14.92,100,RU,Sat May  1 09:32:46 2021
234,mairana,-18.1167,-63.9333,71.74,45,8.55,4,BO,Sat May  1 09:32:47 2021
235,tumbes,-3.5667,-80.4414,84.2,58,5.75,75,PE,Sat May  1 09:32:47 2021
236,nemuro,43.3236,145.575,38.03,85,4.45,42,JP,Sat May  1 09:28:44 2021
237,sivaki,52.6333,126.75,39.38,54,5.12,99,RU,Sat May  1 09:32:48 2021
238,campbell river,50.0163,-125.2446,53.01,71,11.5,40,CA,Sat May  1 09:30:14 2021
239,estelle,29.8458,-90.1067,80.01,57,13.8,75,US,Sat May  1 09:32:50 2021
240,omboue,-1.5746,9.2618,81.0,81,5.66,89,GA,Sat May  1 09:32:50 2021
241,lagoa,39.05,-27.9833,59.29,91,22.12,100,PT,Sat May  1 09:32:51 2021
242,pangnirtung,66.1451,-65.7125,42.8,61,14.97,75,CA,Sat May  1 09:32:51 2021
243,saint-georges,12.0564,-61.7485,84.2,70,20.71,40,GD,Sat May  1 09:32:52 2021
244,port moresby,-9.4431,147.1797,77.0,88,5.75,20,PG,Sat May  1 09:32:52 2021
245,itarema,-2.9248,-39.9167,82.44,75,5.61,99,BR,Sat May  1 09:32:53 2021
246,kawalu,-7.3817,108.2082,73.35,96,1.72,56,ID,Sat May  1 09:28:45 2021
247,urucui,-7.2294,-44.5561,90.01,41,9.57,49,BR,Sat May  1 09:28:57 2021
248,cassilandia,-19.1133,-51.7342,88.83,35,8.28,99,BR,Sat May  1 09:32:54 2021
249,labuan,5.2767,115.2417,78.8,94,6.38,20,MY,Sat May  1 09:32:55 2021
